country,t1,t2,Population,Annual_Change,Annual_Change_Absolute,Density,Land_Area,Migrants,Fert_Rate,Median_Age,Urban_Population,World_Share,Passengers
Afghanistan,99,27.0,38928346.0,2.33,886592.0,60.0,65286.0,-6292.0,4.6,18,25 ,0.5,1858560.0
Albania,113,2.0,2877797.0,-0.11,-312.0,105.0,274.0,-14.0,1.6,36,63 ,0.04,10315.0
Algeria,100,16.0,43851044.0,1.85,79799.0,18.0,2381740.0,-10.0,3.1,29,73 ,0.56,6241920.0
Andorra,106,20.0,77265.0,0.16,123.0,164.0,470.0,,,N.A.,88 ,0.0,
Angola,124,9.0,32866272.0,3.27,1040977.0,26.0,1246700.0,6413.0,5.6,17,67 ,0.42,1581200.0
Antigua and Barbuda,117,,97929.0,0.84,811.0,223.0,440.0,0.0,2.0,34,26 ,0.0,59052.0
Argentina,107,5.0,45195774.0,0.93,415097.0,17.0,2736690.0,48.0,2.3,32,93 ,0.58,18308370.0
Armenia,105,25.0,2963243.0,0.19,5512.0,104.0,2847.0,-4998.0,1.8,35,63 ,0.04,
Australia,70,35.0,25499884.0,1.18,296686.0,3.0,7682300.0,158246.0,1.8,38,86 ,0.33,74257330.0
Austria,100,16.0,9006398.0,0.57,51296.0,109.0,82409.0,65.0,1.5,43,57 ,0.12,16171640.0
Azerbaijan,105,12.0,10139177.0,0.91,91459.0,123.0,82658.0,12.0,2.1,32,56 ,0.13,2331310.0
Bahamas,120,,393244.0,0.97,3762.0,39.0,1001.0,1.0,1.8,32,86 ,0.01,92147.0
Bahrain,99,21.0,1701575.0,3.68,60403.0,2239.0,760.0,478.0,2.0,32,89 ,0.02,5190480.0
Bangladesh,112,10.0,164689383.0,1.01,1643222.0,1265.0,13017.0,-369501.0,2.1,28,39 ,2.11,3785510.0
Barbados,121,,287375.0,0.12,350.0,668.0,430.0,-79.0,1.6,40,31 ,0.0,
Belarus,103,32.0,9449323.0,-0.03,-3088.0,47.0,20291.0,873.0,1.7,40,79 ,0.12,2493100.0
Belgium,79,36.0,11589623.0,0.44,50295.0,383.0,3028.0,48.0,1.7,42,98 ,0.15,13676840.0
Belize,127,,397628.0,1.86,7275.0,17.0,2281.0,12.0,2.3,25,46 ,0.01,1285640.0
Benin,120,,12123200.0,2.73,322049.0,108.0,11276.0,-2.0,4.9,19,48 ,0.16,900.0
Bhutan,110,,771608.0,1.12,8516.0,20.0,38117.0,320.0,2.0,28,46 ,0.01,29335.0
Bolivia,115,18.0,11673021.0,1.39,159921.0,11.0,1083300.0,-9504.0,2.8,26,69 ,0.15,3302460.0
Bosnia and Herzegovina,109,16.0,3280819.0,-0.61,-20181.0,64.0,51.0,-21585.0,1.3,43,52 ,0.04,707.0
Botswana,134,1.0,2351627.0,2.08,4793.0,4.0,56673.0,3.0,2.9,24,73 ,0.03,22084.0
Brazil,101,20.0,212559417.0,0.72,1509890.0,25.0,8358140.0,212.0,1.7,33,88 ,2.73,96395710.0
Brunei,113,19.0,437479.0,0.97,4194.0,83.0,527.0,0.0,1.8,32,80 ,0.01,1172200.0
Bulgaria,112,3.0,6948445.0,-0.74,-51674.0,64.0,10856.0,-48.0,1.6,45,76 ,0.09,1110880.0
Burkina Faso,114,8.0,20903273.0,2.86,581895.0,76.0,2736.0,-25.0,5.2,18,31 ,0.27,14505.0
Burma,131,4.0,54409800.0,0.67,36438.0,83.0,65329.0,-163313.0,2.2,29,31 ,0.7,2700000.0
Burundi,135,,11890784.0,3.12,360204.0,463.0,2568.0,2001.0,5.5,17,14 ,0.15,20000.0
Cabo Verde,124,4.0,555987.0,1.1,6052.0,138.0,403.0,-1342.0,2.3,28,68 ,0.01,2700000.0
Cambodia,71,,16718965.0,1.41,232423.0,95.0,17652.0,-30.0,2.5,26,24 ,0.21,1305300.0
Cameroon,110,19.0,26545863.0,2.59,669483.0,56.0,47271.0,-48.0,4.6,19,56 ,0.34,236.0
Canada,70,43.0,37742154.0,0.89,331107.0,4.0,9093510.0,242032.0,1.5,41,81 ,0.48,91404000.0
Central African Republic,119,,4829767.0,1.78,84582.0,8.0,62298.0,-40.0,4.8,18,43 ,0.06,4636.0
Chad,123,,16425864.0,3.0,478988.0,13.0,1259200.0,2.0,5.8,17,23 ,0.21,283.0
Chile,107,19.0,19116201.0,0.87,164163.0,26.0,743532.0,111708.0,1.7,35,85 ,0.25,17641090.0
China,66,0.0,1439323776.0,0.39,5540090.0,153.0,9388211.0,-348399.0,1.7,38,61 ,18.47,551234510.0
Colombia,110,16.0,50882891.0,1.08,543448.0,46.0,1109500.0,204796.0,1.8,31,80 ,0.65,32506880.0
Congo (Brazzaville),119,,5518087.0,2.56,137579.0,16.0,3415.0,-4.0,4.5,19,70 ,0.07,3339.0
Congo (Kinshasa),115,10.0,89561403.0,3.19,2770836.0,40.0,2267050.0,23861.0,6.0,17,46 ,1.15,29715.0
Costa Rica,110,13.0,5094118.0,0.92,46557.0,100.0,5106.0,42.0,1.8,33,80 ,0.07,1822880.0
Cote d'Ivoire,115,18.0,26378274.0,2.57,66173.0,83.0,318.0,-8.0,4.7,19,51 ,0.34,253000.0
Croatia,100,23.0,4105267.0,-0.61,-25037.0,73.0,5596.0,-8001.0,1.4,44,58 ,0.05,2057800.0
