Country,Passengers
US,"849,403,000 "
 China ,"551,234,510 "
 Ireland ,"153,537,550 "
 United Kingdom ,"151,867,280 "
 India ,"139,822,450 "
 Japan ,"123,898,000 "
 Germany ,"116,847,030 "
 Indonesia ,"110,252,910 "
 Turkey ,"107,917,330 "
 Brazil ,"96,395,710 "
 United Arab Emirates ,"95,306,300 "
 Canada ,"91,404,000 "
 Russia ,"89,373,640 "
"Korea, South","84,045,160 "
 Australia ,"74,257,330 "
 Spain ,"71,908,520 "
 Thailand ,"71,191,510 "
 France ,"68,316,470 "
 Mexico ,"58,536,880 "
 Malaysia ,"58,188,820 "
 Hong Kong ,"45,580,300 "
 Philippines ,"44,087,370 "
 Netherlands ,"42,770,630 "
 Vietnam ,"42,592,760 "
 Singapore ,"37,679,940 "
 Saudi Arabia ,"37,503,000 "
 Colombia ,"32,506,880 "
 Qatar ,"29,949,180 "
 Italy ,"27,836,420 "
  Switzerland ,"26,737,540 "
 Hungary ,"26,066,290 "
 South Africa ,"20,821,040 "
 Iran ,"19,282,800 "
 Argentina ,"18,308,370 "
 Chile ,"17,641,090 "
 New Zealand ,"16,271,520 "
 Austria ,"16,171,640 "
 Portugal ,"15,946,360 "
 Peru ,"15,728,390 "
 Finland ,"14,831,370 "
 Greece ,"13,861,830 "
 Belgium ,"13,676,840 "
 Panama ,"13,673,130 "
 Norway ,"54,099,013 "
 Egypt ,"12,017,180 "
 Sweden ,"11,623,900 "
 Pakistan ,"9,919,770 "
 Ethiopia ,"9,566,380 "
 Oman ,"9,065,020 "
 Morocco ,"8,436,970 "
 Poland ,"7,376,930 "
 Iceland ,"7,242,610 "
 Israel ,"7,065,040 "
 Ukraine ,"6,821,100 "
 Denmark ,"6,428,700 "
 Algeria ,"6,241,920 "
 Kazakhstan ,"5,653,190 "
 Kuwait ,"5,586,030 "
 Czech Republic ,"5,450,670 "
 Sri Lanka ,"5,342,460 "
 Bahrain ,"5,190,480 "
 Ecuador ,"5,121,230 "
 Kenya ,"4,892,680 "
 Romania ,"4,425,720 "
 Tunisia ,"4,194,170 "
 Venezuela ,"4,155,860 "
 Bangladesh ,"3,785,510 "
 Nigeria ,"3,446,720 "
 Latvia ,"3,441,020 "
 Jordan ,"3,381,680 "
 Bolivia ,"3,302,460 "
 Lebanon ,"2,869,270 "
 Myanmar ,"2,853,920 "
 Macao ,"2,767,940 "
 El Salvador ,"2,670,560 "
 Trinidad and Tobago ,"2,582,960 "
 Uzbekistan ,"2,581,860 "
 Belarus ,"2,493,100 "
 Serbia ,"2,442,730 "
 Azerbaijan ,"2,331,310 "
 Iraq ,"2,170,500 "
 Croatia ,"2,057,800 "
 Luxembourg ,"1,901,010 "
 Papua New Guinea ,"1,864,650 "
 Afghanistan ,"1,858,560 "
 Costa Rica ,"1,822,880 "
 Mauritius ,"1,674,390 "
 Angola ,"1,581,200 "
 Malta ,"1,575,130 "
 Fiji ,"1,557,880 "
 Maldives ,"1,485,750 "
 Cambodia ,"1,305,300 "
 Belize ,"1,285,640 "
 Turkmenistan ,"1,279,940 "
 Laos ,"1,196,040 "
 Libya ,"1,186,420 "
 Brunei ,"1,172,200 "
 Kyrgyzstan ,"1,127,290 "
 Tanzania ,"1,120,060 "
 Bulgaria ,"1,110,880 "
 Moldova ,"1,092,610 "
 Slovenia ,"1,087,080 "
 Lithuania ,"1,069,270 "
 Cuba ,"942,78"
 Bahamas ,"921,47"
 Tajikistan ,"796,38"
 Ivory Coast ,"788,1"
   Nepal ,"779,9"
 Rwanda ,"739,67"
 Cyprus ,"672,8"
 Seychelles ,"633,52"
 Namibia ,"623,08"
 Mongolia ,"602,77"
 Antigua and Barbuda ,"590,52"
 Mozambique ,"569,83"
 Uruguay ,"563,63"
 Montenegro ,"507,64"
 Togo ,"500,69"
 Equatorial Guinea ,"496,32"
 Madagascar ,"486,43"
 Paraguay ,"457,25"
 Solomon Islands ,"427,81"
 Mauritania ,"418,82"
 Cape Verde ,"358,05"
 Vanuatu ,"339,02"
Congo (Brazzaville),"333,9"
 Sudan ,"328,74"
 Georgia ,"323,3"
 Ghana ,"299,38"
Congo (Kinshasa),"297,15"
 Bhutan ,"293,35"
 Suriname ,"284,94"
 Zimbabwe ,"282,54"
 Cameroon ,236
 Honduras ,"229,68"
 Botswana ,"220,84"
 Guatemala ,"155,52"
 Zambia ,"154,57"
 Jamaica ,"151,33"
 Burkina Faso ,"145,05"
 Samoa ,"135,34"
 Yemen ,"132,57"
 North Korea ,"132,57"
 Albania ,"103,15"
 Eritrea ,"102,73"
 North Macedonia ,"86,87"
 Gabon ,"77,32"
 Comoros ,"66,57"
 Uganda ,"54,94"
 Gambia ,"53,73"
 Sierra Leone ,"50,19"
 Marshall Islands ,"47,5"
 Central African Republic ,"46,36"
 Nauru ,"45,46"
 Chad ,"28,3"
 Senegal ,"21,04"
 Syria ,"17,56"
 Niger ,"14,71"
 Estonia ,"13,1"
 Malawi ,"10,54"
 Dominica,"11,9"
 Bosnia and Herzegovina ,"7,07"
 Somalia ,"4,49"
 Benin ,900
 Monaco ,320
Burma,2700000
Burundi,20000
Cabo Verde,2700000
Cote d'Ivoire,253000
Czechia,3000000
Djibouti,172000
Eswatini,70000
Guinea,965000
Guinea-Bissau,30000
Guyana,630000
Haiti,2000000
Holy See,0
Kosovo,2300000
Liberia,1000000
Liechtenstein,500000
Mali,1000000
Nicaragua,1700000
Saint Lucia,390000
Saint Vincent and the Grenadines,65000
Slovakia,2200000
Timor-Leste,75000
